Account,total_pnl,avg_daily_pnl,pnl_std,total_trades,trading_days,avg_win_rate,avg_size_usd,avg_long_ratio,freq_segment,size_segment,winner_segment,sharpe,consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,66676.242499125,150401.79734551374,3818,24,0.35233288809198676,33569.102223713766,0.013657131505760827,Frequent,Large Size,Others,0.44332078256984614,Moderate
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,920.8715483461539,3603.0422910248762,7280,52,0.39713376753982704,4359.8309302466505,0.4163531224019476,Frequent,Small Size,Others,0.25558166514996933,Moderate
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-5869.682609833333,33420.410013838264,3809,12,0.3799521001942577,11057.118418553686,0.007737348389795065,Frequent,Large Size,Others,-0.17563167559592238,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,817.6840404567902,2993.2847018942703,13311,162,0.4525088144750888,484.8442941619222,0.3453753429981103,Frequent,Small Size,Others,0.2731728258053949,Moderate
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2444.3189129565217,4867.743468797182,3239,69,0.498708261557744,2553.7570373757217,0.36259348170765276,Infrequent,Small Size,Others,0.5021462056545083,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-725.6651159534885,10110.280939662283,815,43,0.2662149612452762,1613.2556722621034,0.19703433947619992,Infrequent,Small Size,Others,-0.07177497047650352,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,314.2808551304348,14586.482779999604,3589,46,0.36468216478488236,28188.549085190585,0.25909312270573354,Infrequent,Large Size,Others,0.021546034083099352,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,1910.5802586785717,5774.468515461302,332,28,0.45689935064935067,9812.51560528366,0.4640190166975881,Infrequent,Large Size,Others,0.3308668587529066,Moderate
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,9975.2796366,20797.39604487325,383,20,0.42995901639344264,8334.762260556681,0.03310344827586207,Infrequent,Large Size,Others,0.47964079806320364,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,14876.49544075,32725.08326015729,1237,28,0.2026689708141321,2525.945975144083,0.19018817204301075,Infrequent,Small Size,Others,0.4545899951570679,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,717.6646955625,2484.2443189649503,8519,144,0.3639104417771443,516.6442989710463,0.25224849654274434,Frequent,Small Size,Others,0.28888651976920815,Moderate
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,11685.293976603449,25344.268484609507,4356,58,0.426408492962711,16024.724760769133,0.419139819953064,Frequent,Large Size,Others,0.46106258634763786,Consistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,962.5416502056074,7430.255413150263,7584,321,0.30121366471109007,16038.456425115373,0.5071120494902595,Frequent,Large Size,Others,0.12954354819377353,Inconsistent
